frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz
47.6374,0.143152,1560.74,0.0517578,131.191
47.7303,0.174921,1616.43,0.0507812,131.191
47.8231,0.204439,1316.14,0.0498047,133.484
47.916,0.20695,1356.92,0.0415039,87.5594
48.0088,0.198283,1496.75,0.0517578,87.5594
48.1017,0.161063,1626.83,0.0688477,87.0551
48.1946,0.144163,1335.54,0.050293,87.5594
48.2874,0.140894,1393.94,0.0336914,87.5594
48.3803,0.131023,1310.67,0.0566406,88.0666
48.4731,0.128617,1690.32,0.0800781,89.606
48.566,0.161499,1423.74,0.0498047,91.7004
48.6589,0.189248,1502.6,0.0732422,180.25
48.7517,0.185538,1688.76,0.097168,175.119
48.8446,0.162472,1737.64,0.0742188,175.119
48.9374,0.161778,1562.86,0.0717773,174.11
49.0303,0.157503,1793.67,0.0893555,175.119
49.1232,0.127501,2326.85,0.178711,175.119
49.216,0.167565,2856.68,0.197754,202.324
49.3089,0.171832,2006.89,0.104492,201.159
49.4017,0.204092,1649.26,0.0522461,207.053
49.4946,0.179247,2136.93,0.0722656,207.053
49.5875,0.177619,1729.46,0.0957031,190.968
49.6803,0.219652,2910.95,0.0913086,184.463
49.7732,0.165966,2385.45,0.074707,178.18
49.866,0.188702,1661.11,0.0473633,176.133
49.9589,0.177593,1517.71,0.0415039,177.154
50.0518,0.197693,2333.71,0.0776367,175.119
50.1446,0.179454,2483.83,0.078125,175.119
50.2375,0.166797,1853.46,0.0654297,165.29
50.3303,0.201548,1442.06,0.0429688,175.119
50.4232,0.136649,1520.34,0.0507812,177.154
50.5161,0.122434,992.417,0.0375977,64.4685
50.6089,0.0933843,1356.64,0.0732422,117.555
50.7018,0.211117,2297.09,0.0410156,200
50.7947,0.16668,1286.76,0.0327148,210.672
50.8875,0.136926,1277.91,0.0385742,123.114
50.9804,0.172859,2568.95,0.193848,200
51.0732,0.133466,3626.66,0.232422,205.86
51.1661,0.163048,1838.25,0.0717773,175.119
51.259,0.183442,1566.12,0.0668945,163.392
51.3518,0.177196,2312.59,0.0771484,175.119
51.4447,0.102262,4011.28,0.335938,171.119
51.5375,0.16716,2952.65,0.223633,201.159
51.6304,0.134959,2270.47,0.115723,
51.7233,0.166063,1311.03,0.0351562,220.636
51.8161,0.12566,2178.68,0.0751953,181.294
51.909,0.253666,1380.72,0.0341797,208.252
52.0018,0.241299,2563.52,0.0600586,181.294
