frame_time_s,rms,spectral_centroid_hz,spectral_bandwidth_hz,zcr,f0_hz
19.328,0.059022,790.015,1147.47,0.0556641,98.1247
19.392,0.0458776,841.442,1252.8,0.0537109,210.433
19.456,0.0477928,2284.77,2345.01,0.177734,381.173
19.52,0.100496,4558.06,2080.67,0.375,350.182
19.584,0.126703,2383.72,2427.86,0.305664,94.6791
19.648,0.15967,2148.48,2291.55,0.120117,289.783
19.712,0.242523,1749.58,2093.04,0.050293,200.317
19.776,0.263008,1677.38,2113.5,0.0302734,208.842
19.84,0.237482,1672.47,1932.08,0.0512695,205.521
19.904,0.228422,1731.62,2178.75,0.0654297,206.785
19.968,0.247898,1503.95,2075.7,0.0522461,199.495
20.032,0.263712,1622.91,2086.22,0.0473633,207.289
20.096,0.260711,1803.26,2139.44,0.046875,207.783
20.16,0.264932,1504.44,2029.56,0.0444336,203.966
20.224,0.241579,1484.13,2154.48,0.0483398,196.694
20.288,0.237577,1460.04,2081.59,0.0488281,194.058
20.352,0.217347,1385.13,2042.56,0.0415039,195.845
20.416,0.185053,2593.21,2356.54,0.0898438,195.989
20.48,0.194293,1685.34,2226.38,0.0947266,196.417
20.544,0.22022,1535.55,2020.65,0.0522461,195.555
20.608,0.257129,1317.79,1978.98,0.0551758,196.738
20.672,0.256093,1218.94,1887.82,0.0498047,196.18
20.736,0.239823,997.888,1577.76,0.0429688,195.915
20.8,0.23417,1045.76,1663.5,0.0361328,206.673
20.864,0.239965,1141.82,1782.82,0.0332031,230.752
20.928,0.216463,1217.13,1856.73,0.0356445,232.115
20.992,0.15356,2999.78,2426.01,0.116211,223.995
21.056,0.131415,2230.67,2489.26,0.133789,195.138
21.12,0.170469,1771.12,2260.53,0.059082,69.5394
21.184,0.192811,1744.69,2184.61,0.0395508,138.437
21.248,0.174232,1633.06,2227,0.0864258,138.923
21.312,0.161897,2567.63,2718.13,0.125488,68.4476
21.376,0.167567,1889.31,2420.31,0.09375,66.2179
21.44,0.162368,1722.99,2257.18,0.0629883,130.397
21.504,0.158225,1485.91,2132.14,0.0444336,129.707
21.568,0.155442,1038.38,1734.5,0.034668,245.791
21.632,0.130441,874.115,1467.09,0.0493164,65.4722
21.696,0.120009,3508.47,2257.64,0.246582,131.636
21.76,0.121088,3820.07,2370.58,0.325195,134.51
21.824,0.106207,2812.54,2515.12,0.139648,129.042
21.888,0.0971875,1635.01,2129.92,0.0498047,130.604
21.952,0.100904,1064.24,1707.11,0.0385742,87.5086
22.016,0.105248,810.674,1404.86,0.0366211,259.498
22.08,0.101921,1478.29,2079.43,0.0957031,86.9132
22.144,0.124765,3428.46,2383.39,0.169922,131.064
22.208,0.123293,3631.46,2594.36,0.149902,163.254
22.272,0.0842308,2578.41,2552.02,0.0878906,172.861
22.336,0.0583431,1616.9,2178.66,0.0527344,86.7985
22.4,0.143215,1925.34,2392.1,0.0419922,65.8981
22.464,0.192465,1425.9,2278.33,0.0439453,191.991
22.528,0.138065,1585.35,2309.04,0.0454102,189.355
22.592,0.0435948,1162.75,1843.91,0.0390625,190.658
22.656,0.0593428,1221.78,1873.05,0.0766602,219.389
22.72,0.207387,3533.08,2908.37,0.0849609,215.895
22.784,0.237812,3030.94,3005.73,0.0493164,190.194
22.848,0.147028,2364.45,2782.18,0.0410156,191.193
22.912,0.0861358,1675.53,2259.31,0.0366211,194.336
22.976,0.0883624,3034.48,2305.14,0.146973,64.5166
23.04,0.1054,3651.76,2340.86,0.282715,146.916
23.104,0.0783828,3586.77,2441.24,0.275879,71.7083
23.168,0.0413307,2684.33,2471.21,0.154297,66.6873
23.232,0.0416508,1729.04,2155.02,0.0556641,132.262
23.296,0.0472183,2993.21,2629.47,0.125488,132.714
23.36,0.0458101,4241.19,2438.5,0.283691,263.033
23.424,0.0389519,4235.01,2388.27,0.347168,131.165
23.488,0.0364181,4368,2404.47,0.271973,89.3014
23.552,0.107959,2272.15,2590.13,0.177246,88.3624
23.616,0.126875,2576.92,2669.48,0.175293,198.863
23.68,0.0784414,3203.45,2897.44,0.175781,196.345
23.744,0.037231,2408.28,2607.4,0.12207,64.0183
23.808,0.0248908,1617.18,2185.25,0.0756836,67.1701
23.872,0.0254202,1374.99,1952.6,0.046875,66.211
23.936,0.0296701,1327.33,1931.02,0.0366211,66.1429
24,0.0813885,3330.66,2172.59,0.17041,87.0781
24.064,0.0983302,3805.11,2194.92,0.390625,238.848
24.128,0.0722816,4026.53,2343.52,0.320801,239.257
24.192,0.0492764,2936.11,2461.95,0.108398,86.569
24.256,0.0331559,1896.12,2205.76,0.043457,87.7799
24.32,0.0294534,1285.9,1923.47,0.0385742,88.2127
24.384,0.0361154,1029.05,1780.96,0.0361328,87.4506
24.448,0.129608,3316.68,2451.62,0.120117,263.815
24.512,0.173446,3261.95,2675.1,0.138672,168.642
24.576,0.130238,3052.29,2717.17,0.0766602,176.113
24.64,0.0605075,2366.13,2554.39,0.0615234,172.707
24.704,0.0992149,1597.03,2190.55,0.0498047,86.7745
24.768,0.215409,1025.14,1828.76,0.0429688,190.772
24.832,0.200409,1360.65,2234.43,0.0283203,190.566
24.896,0.0602239,1165.11,1940.51,0.0361328,194.011
24.96,0.0441571,1674.08,2186.28,0.0532227,89.0383
25.024,0.193467,3284,2890.18,0.0961914,65.1458
25.088,0.246323,2822.83,2963.53,0.0878906,196.685
25.152,0.186941,2883.68,2967.15,0.0410156,191.399
25.216,0.106966,1856.57,2521.9,0.0317383,192.956
25.28,0.0787873,2174.26,2361.3,0.0712891,188.561
25.344,0.105337,3111.97,2342.57,0.208984,190.855
25.408,0.0887371,3636.33,2408.28,0.318848,70.6384
25.472,0.0556492,3420.17,2293.83,0.317383,68.6158
25.536,0.0440413,3085.65,2483.82,0.207031,145.646
25.6,0.127699,1272.2,1766.24,0.090332,133.433
25.664,0.156899,1623.34,1850.77,0.0834961,94.7102
25.728,0.153937,1626.41,2018.88,0.0864258,95.2059
25.792,0.189542,2112.68,1995.79,0.103027,208.955
25.856,0.220411,2946.73,2342.01,0.117676,261.929
25.92,0.189313,2296.69,2394.75,0.181152,260.711
25.984,0.1594,3069.2,2571.21,0.190918,117.734
26.048,0.187579,2787.06,2401.48,0.12207,261.602
26.112,0.21907,2838.26,2523.17,0.0888672,227.942
26.176,0.242926,2201.89,2480.66,0.0551758,232.687
26.24,0.241816,1903.89,2337.36,0.0566406,233.618
26.304,0.235525,1805.57,2210.82,0.0703125,232.936
26.368,0.22322,2811.25,2344.05,0.0942383,234.204
26.432,0.203558,2421.12,2475.52,0.0986328,234.091
26.496,0.157964,2665.08,2654.62,0.123047,232.253
26.56,0.164811,2570.64,2623.73,0.108398,233.348
26.624,0.227324,2307.81,2311.49,0.0561523,236.484
26.688,0.238549,1984.95,2270.25,0.0439453,216.702
26.752,0.200123,2305.79,2466.03,0.103027,210.795
26.816,0.194162,3209.09,2595.17,0.129395,218.603
26.88,0.221906,2087.45,2505.65,0.0664062,201.974
26.944,0.214225,1774.06,2067.95,0.046875,207.812
27.008,0.19245,2105.95,2314.53,0.107422,208.825
27.072,0.207597,3728.14,2647.44,0.151367,208.187
27.136,0.231187,2918.52,2559.37,0.0961914,195.658
27.2,0.22614,2201.75,2162.2,0.0761719,194.431
27.264,0.213137,2034.71,2095.82,0.0966797,195.701
27.328,0.212898,1900.05,2193.74,0.102539,196.377
27.392,0.214728,3128.63,2746.06,0.12207,196.713
27.456,0.173919,3400.08,2703.62,0.167969,194.625
27.52,0.108782,3332.3,2544.37,0.183105,195.477
27.584,0.0856483,2589.06,2505.12,0.143555,196.931
27.648,0.116143,3268.53,2339.08,0.241211,197.17
27.712,0.170561,3161.58,2367.49,0.244629,70.5739
27.776,0.224955,2128.67,2208.76,0.0952148,207.725
